                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.95346,                 2.0771,                 1.1426,                0.83889,                0.51421,                0.66059,                0.49272,                 1.0709,                 3.1128,                 1.4142,             0.00043325,             0.00043325,             0.00043325
                     35,                0.84994,                 1.9568,                 1.1006,                0.98373,                 0.4841,                0.63659,                0.47139,                 1.1913,                 3.1023,                 1.4257,              0.0004085,              0.0004085,              0.0004085
                     36,                0.91798,                  2.292,                 1.2045,                0.98373,                 0.4841,                0.63659,                0.47139,                 1.1913,                 3.1023,                 1.4257,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.0139,                 2.1381,                 1.0906,                0.98436,                0.49399,                 0.6116,                0.48345,                 1.2571,                 2.9428,                 1.4884,               0.000359,               0.000359,               0.000359
                     38,                  0.782,                  2.329,                 1.0608,                0.98436,                0.49399,                 0.6116,                0.48345,                 1.2571,                 2.9428,                 1.4884,             0.00033425,             0.00033425,             0.00033425
                     39,                 0.7532,                 2.1525,                 1.1019,                0.65502,                0.66667,                0.68746,                0.48162,                 1.2428,                 2.7272,                 1.4844,              0.0003095,              0.0003095,              0.0003095
                     40,                0.92194,                 1.8601,                 1.1037,                0.65502,                0.66667,                0.68746,                0.48162,                 1.2428,                 2.7272,                 1.4844,             0.00028475,             0.00028475,             0.00028475
                     41,                0.72812,                 2.5429,                 1.0028,                0.82111,                0.63248,                 0.6954,                0.45309,                 1.1893,                 2.5985,                 1.4478,                0.00026,                0.00026,                0.00026
                     42,                0.68042,                 2.4871,                0.96548,                0.82111,                0.63248,                 0.6954,                0.45309,                 1.1893,                 2.5985,                 1.4478,             0.00023525,             0.00023525,             0.00023525
                     43,                0.73718,                 2.6953,                 0.9351,                 0.8372,                0.61706,                0.70378,                0.46261,                 1.1746,                 2.6659,                 1.4715,              0.0002105,              0.0002105,              0.0002105
                     44,                0.79016,                 2.4405,                 1.0562,                 0.8372,                0.61706,                0.70378,                0.46261,                 1.1746,                 2.6659,                 1.4715,             0.00018575,             0.00018575,             0.00018575
                     45,                0.70193,                 2.3332,                0.99126,                0.78116,                0.62845,                0.70258,                0.43188,                 1.1645,                 2.6857,                 1.4531,               0.000161,               0.000161,               0.000161
                     46,                0.61276,                 2.3162,                0.98679,                0.78116,                0.62845,                0.70258,                0.43188,                 1.1645,                 2.6857,                 1.4531,             0.00013625,             0.00013625,             0.00013625
                     47,                0.61909,                 2.2998,                0.94265,                0.76076,                0.65194,                0.71084,                0.42025,                  1.147,                 2.7259,                 1.4641,              0.0001115,              0.0001115,              0.0001115
                     48,                 0.6836,                 2.3256,                 1.1018,                0.76076,                0.65194,                0.71084,                0.42025,                  1.147,                 2.7259,                 1.4641,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.64899,                 2.7038,                  1.029,                0.88631,                0.60984,                0.71896,                0.42295,                 1.1434,                 2.7383,                 1.4826,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.66063,                 2.2169,                0.98309,                0.88631,                0.60984,                0.71896,                0.42295,                 1.1434,                 2.7383,                 1.4826,              3.725e-05,              3.725e-05,              3.725e-05
